,notice,HR,2022/5/5,新進同仁--王達明專員,歡迎行銷部王達明專員加入本公司,staff,insideweb,2022/5/15
,rule,support,2022/5/6,轉知防5/6防疫規定,防疫指揮中心5/6再放寛密接者居隔規定….,staff,insideweb,2022/5/31
,policy,board,2022/5/7,本公司淨零政策,董事會決定本公司2049年以前達到淨零。請依淨零計畫辧理,staff,insideweb,2022/6/30
,business,expertize,2022/5/8,增胋區塊鏈介紹,專業知識分享區增貼區塊鏈簡介與應用一則,all,bothweb,2022/5/31
,notice,HR,2022/5/9,端午節放假三天,本公司依勞基法，今年端午節6/3至6/5放假三天,staff,insideweb,2022/6/6
,instruct,expertize,2022/5/10,奉示堅持服務品質,服務為本公司核心價值，總經理指示，服務態度要佳，提供的服務要確保品質,staff,insideweb,2022/9/30
,promotion,marketing,2022/5/11,服務假日不中斷,端午節快樂! 假日期間本公司服務不中斷,guest,outweb,2022/6/6
,promotion,expertize,2022/5/12,從資訊化、智慧化至智能化,資訊化、智慧化、智能化各種名詞令人眼花撩亂，它們的差別是什麼?貴寶號需要的是什麼?該我們來告訴您,guest,outweb,2022/9/30
,promotion,expertize,2022/5/13,比特幣、區塊鏈、NFT是什麼,比特幣、區塊鏈、NFT是什麼，請參閱區塊鏈簡介與應用一文,guest,outweb,2022/9/30
,promotion,marketing,2022/5/14,會員獨享,本公司提供會員多項優惠及會員免費獨享訊息，歡近註冊成為會員,guest,outweb,2022/12/31
